Name;Player_name;Core_gun;Sights;Muzzle;Melee;Size_num;Weight;Price
Crown & King Auto-5;Корона;Crown & King Auto-5;Iron;None;None;3;1;600
Specter 1882;Спектр;Specter 1882;Iron;None;None;3;1;188
Specter 1883 Bayonet;Спектр штык;Specter 1883;Iron;None;Bayonet;3;1;223
Specter 1882 Compact;Спектр обрез;Specter 1884;Iron;None;None;2;1;164
Winfild Terminus;Терминус;Winfild Terminus;Iron;None;None;3;1;309
Winfild Terminus Handcannon;Терминус обрез;Winfild Terminus;Iron;None;None;2;1;289
Caldwell Rival 78;Двустволка;Caldwell Rival 78;Iron;None;None;3;1;100
Caldwell Rival 78 Handcannon;Двустволка обрез;Caldwell Rival 78;Iron;None;None;2;1;85
Romero 77;Ромеро;Romero 77;Iron;None;None;3;1;34
Romero 77 Talon;Ромеро талон;Romero 77;Iron;None;Talon;3;1;59
Romero 77 Compact;Ромеро обрез;Romero 77;Iron;None;None;2;1;26
Romero 77 Compact Hatchet;Ромеро обрез топор;Romero 77;Iron;None;Hatchet;2;1;62
